# 系统解剖学题库导入数据（呼吸系统+泌尿系统+男性生殖系统）
## 一、选择题（题目|选项1|选项2|选项3|选项4|选项5|答案）
### 第五章 呼吸系统
膀胱充盈时,超过耻骨联合上缘的结构是|膀胱尖|膀胱体|膀胱颈|膀胱三角|输尿管间襞|A
膀胱的最下部称为|膀胱尖|膀胱体|膀胱颈|膀胱三角|输尿管间襞|C
寻找输尿管口的标志是|膀胱尖|膀胱体|膀胱颈|膀胱三角|输尿管间襞|E
膀胱镜检查时应特别注意的部位是|膀胱尖|膀胱体|膀胱颈|膀胱三角|输尿管间襞|D
尿液流入肾小盏通过的结构是|乳头孔|肾盂|输尿管口|尿道内口|尿道外口|A
输送尿液出肾的结构是|乳头孔|肾盂|输尿管口|尿道内口|尿道外口|B
尿液进入膀胱通过的结构是|乳头孔|肾盂|输尿管口|尿道内口|尿道外口|C

### 第七章 男性生殖系统
男性的生殖腺|前列腺|精囊|睾丸|尿道球腺|附睾|C
精子产生于|生精小管|精直小管|睾丸小隔|睾丸网|睾丸间质细胞|A
分泌男性激素的是|睾丸间质细胞|睾丸网|睾丸纵隔|白膜|附睾管|A
附睾|紧贴睾丸下端和后缘|产生精子|分泌雄性激素|储存精子,促进精子成熟|由睾丸网构成|D
输精管结扎常用部位|睾丸部|精索部|盆部|腹股沟管部|壶腹部|B
射精管开口于|尿道海绵体部|尿道膜部|尿道球部|尿道前列腺部|舟状窝|D
在膀胱底的外侧,输精管跨越输尿管的|前上方|后下方|前下方|后上方|后外侧|A
射精管|输精管末端膨大形成射精管|向前下穿前列腺实质|开口于尿道球部|穿尿生殖膈|长约8cm|B
精囊|为单一的囊状器官|位于膀胱前方|由附睾管构成|可储存精子|其排泄管与输精管末端合成射精管|E
前列腺的位置|位于耻骨联合与膀胱之间|位于膀胱与直肠之间|位于膀胱与尿生殖隔之间|位于直肠与骶骨之间|位于尿生殖膈内|C
位于前列腺后方的结构|膀胱|直肠|精囊|输精管壶腹|尿道球腺|B
尿道球腺开口于|膀胱|尿道前列腺部|尿道球部|尿道膜部|舟状窝|C
前列腺|由平滑肌构成|成对的中空性器官|呈尖朝上、底朝下|体后面有纵行的前列腺沟|活体直肠指诊,触摸不到前列腺|D
睾丸的下降|胚胎3个月下降至阴囊|胚胎3个月下降至腹股沟管|胚胎6个月下降至腹股沟管|胚胎6个月下降至阴囊|出生前下降至阴囊|E
包皮系带|由阴茎海绵体背侧中线的筋膜皱形成|由阴茎海绵体腹侧中线的筋膜皱形成|由阴茎头腹侧中线处的皮肤皱形成|由阴茎头背侧中线处的皮肤皱形成|阴囊的浅筋膜形成|C
睾丸|仅产生精子,不分泌男性激素|前缘有血管、神经出入,后缘游离|鞘膜在睾丸内形成睾丸纵隔|睾丸小隔将睾丸分为10~20个睾丸小叶|每个睾丸小叶内有2~4条生精小管|E
男性尿道第2个生理性狭窄位于|尿道内口|尿道膜部|尿道球部|尿道外口|舟状窝|B
全尿道第2个膨大位于|尿道前列腺部|尿道膜部|尿道球部|尿道外口|舟状窝|C
男性前尿道是指|尿道前列腺部|尿道膜部|尿道海绵体部|尿道球部|尿道膜部和尿道球部|C
男性后尿道是指|尿道前列腺部和尿道膜部|尿道球部和尿道膜部|尿道海绵体部和尿道膜部|尿道前列腺部和尿道膜部|尿道前列腺部和尿道海绵体部|A
男性尿道|分为前列腺部、膜部和海绵体部|耻骨下弯凸向上,不固定|耻骨下弯凸向下,固定|有2个狭窄、2个弯曲和2个膨大|穿过盆隔,不穿过尿生殖膈|A
尿道穿过尿生殖膈的是|尿道海绵体部|尿道膜部|尿道球部|尿道前列腺部|尿道膜部和前列腺部|B
男性尿道分为|前列腺部、膜部、阴茎部|前列腺部、膜部、尿道球部|前列腺部、膜部、海绵体部|前列腺部、膜部、后尿道|前列腺部、海绵体部|C
输精管末端|扩大形成输精管壶腹|变细,与精囊的排泄管汇合成射精管|输尿管跨越其前方|开口于尿道球部|有睾丸动脉伴行|B
前列腺排泄管开口于|尿道海绵体部|尿道前列腺部|尿道膜部|尿道球部|射精管|B
尿道嵴位于|尿道前列腺部后壁|尿道膜部后壁|尿道海绵体后壁|尿道球部后壁|膀胱后壁|A
阴茎分为|头、体、尾|头、体、根|头、颈、体|头、颈、脚|头、颈、体、尾|B
男性尿道最狭窄处|尿道内口|尿道膜部|尿道外口|尿道前列腺部|尿道球部|C
精索|是一对坚硬的圆索状结构|起自附睾尾|内有输精管和睾丸动脉、蔓状静脉丛、输精管血管、鞘韧带等|上端连于膀胱|男性绝育手术即结扎精索|C
精索位于|腹股沟管腹环至皮下环|腹股沟管皮下环至附睾上端|腹股沟管腹环至睾丸上端|腹股沟管皮下环至睾丸上端|腹股沟管内|C
男性,72岁,前列腺肥大病史,不能排尿,痛苦状,耻骨联合上方的腹壁触诊到一个大的卵形肿胀物,下列陈述错误的是|膀胱是盆腔结构|当膀胱充盈时,上壁高出骨盆上口|当膀胱充盈时,不可能达到脐上方的水平|前列腺肥大压迫了尿道|肿胀的压力加剧了症状|C
男性,60岁,两年前开始尿频,逐渐加重,并出现夜尿增多,尿线变细,尿淋漓,尿等待等症状,今晨膀胱肿胀不能排出尿液,前列腺沟消失,腺体增大明显,诊断为良性前列腺增生症。该病人出现尿潴留的原因是增生的腺体组织压迫了|尿道内口|尿道前列腺部|尿道膜部|尿道球部|前尿道|B
男性,23岁,于建筑施工中一脚踩空,骑跨于墙体之上,当时感会阴部疼痛,20分钟后排尿时发现尿道外口流血,不能排出尿液,根据病史,该患者最有可能的诊断是|尿道结石梗阻|膀胱结石|尿道膜部断裂|尿道球部断裂|尿道前列腺部断裂|D
男性,2岁,出生时即发现左侧阴囊较小,左下腹部有一结节,左侧阴囊空虚,于左侧腹股沟区触到一卵圆形肿物,按压时患儿哭闹,余皆正常,考虑为|斜疝|隐睾|鞘膜积液|直疝|精索静脉曲张|A
男性,30岁,已婚不育,超声显示:左侧阴囊内多条管状结构,CDFI为静脉频谱,管颈大于3mm,它最可能是|斜疝|附睾炎|阴囊血肿|精索静脉曲张|睾丸肿瘤|D
男性,40岁,醉酒驾车遭遇车祸,诉盆部及下腹部疼痛,无小便,试插导尿管及膀胱穿刺均未引出尿液,结合腹、盆部X线结果,诊断为右侧耻骨上下支骨折,该患者什么结构损伤|膀胱|尿道|前列腺|直肠|阴茎|A
男性,70岁,不能排尿,下腹部饱胀伴肿痛7小时,导尿后直肠指检可触及肿大的前列腺,前列腺沟已消失,诊断为前列腺良性增生,关于前列腺描述错误的是|前列腺是男性生殖系统的附属腺体,呈栗子型|上端与膀胱颈相接,内有尿道穿过|下端与盆膈相邻,尿道由此穿出|前列腺体的后面有一纵行的前列腺沟|直肠指诊是诊断前列腺良性增生的重要手段|C
男性,33岁,从脚手架上摔下,骑跨于钢架上,顿感会阴部剧烈疼痛,急送医院救治,检查发现阴囊肿胀变色,触痛明显,小便量小,仅有几滴血尿,从解剖学角度分析,如果本患者有尿液外溢,尿液不会外溢至何处|会阴浅隙|阴茎|阴囊|腹前壁|盆腔|E
男性的生殖腺是|睾丸|睾丸纵隔|尿道球|尿道球腺|附睾|A
属于附属腺的是|睾丸|睾丸纵隔|尿道球|尿道球腺|附睾|D
能储存和促进精子成熟的器官|睾丸|睾丸纵隔|尿道球|尿道球腺|附睾|E
由睾丸白膜形成的结构|睾丸|睾丸纵隔|尿道球|尿道球腺|附睾|B
输精管结扎常选部位|输精管壶腹|输精管腹股沟管部|输精管盆部|输精管精索部|输精管睾丸部|D
位于膀胱底后方、精囊内侧|输精管壶腹|输精管腹股沟管部|输精管盆部|输精管精索部|输精管睾丸部|A
施行腹股沟斜疝修补术时,输精管易被损伤的部位|输精管壶腹|输精管腹股沟管部|输精管盆部|输精管精索部|输精管睾丸部|B
肛诊可以触及的结构|输精管壶腹|输精管腹股沟管部|输精管盆部|输精管精索部|输精管睾丸部|A
由腹横筋膜形成的是|精索内筋膜|精索外筋膜|提睾肌|肉膜|睾丸鞘膜|A
由腹内斜肌和腹横肌共同形成的是|精索内筋膜|精索外筋膜|提睾肌|肉膜|睾丸鞘膜|C
形成阴囊中隔的是|精索内筋膜|精索外筋膜|提睾肌|肉膜|睾丸鞘膜|D
阴囊的浅筋膜又称为|精索内筋膜|精索外筋膜|提睾肌|肉膜|睾丸鞘膜|D

## 二、判断改错题（题目|正确/错误|改正内容）
### 第五章 呼吸系统
通常将鼻、咽、喉和气管称为上呼吸道,将主支气管称为下呼吸道|错误|鼻、咽、喉为上呼吸道,气管和各级支气管为下呼吸道
鼻前庭由骨性鼻腔内衬黏膜形成|错误|固有鼻腔由骨性鼻腔内衬黏膜形成
蝶窦开口于上鼻道|错误|蝶窦开口于蝶筛隐窝
开口于中鼻道的鼻旁窦有上颌窦、额窦和筛窦|错误|开口于中鼻道的鼻旁窦有上颌窦、额窦和前、中筛窦
上颌窦是鼻旁窦最大者,其开口位置低于窦底,其分泌物容易流出|错误|上颌窦是鼻旁窦最大者,其开口位置高于窦底,其分泌物不易流出
喉软骨中唯一完整的软骨环是环状软骨,平对第6颈椎,是颈部重要的体表标志|正确|
喉肌为细小的平滑肌,附着于喉软骨的内面和外面|错误|喉肌为细小的横纹肌,附着于喉软骨的内面和外面
环构后肌收缩时,可缩小声门裂并紧张声带|错误|环构后肌收缩时,可开大声门裂并紧张声带
声门裂是喉腔最狭窄的部位|正确|
喉腔上通喉咽部,下通气管|正确|
喉口由会厌软骨上缘,甲状软骨上缘和构间切迹所围成|错误|喉口由会厌软骨上缘、杓状会厌襞和杓间切迹所围成
声带是喉黏膜覆盖声韧带和声带肌形成的|正确|
气管在颈静脉切迹平面分为左、右主支气管|错误|气管在胸骨角平面分为左、右主支气管
