# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
IgG与补体C1q结合的部位是|VH、VL|CH、CL|CH2|CH3|CH4|C
Ig的独特型决定簇存在于|VH、VL|CH、CL|CH2|CH3|CH4|A
IgM与补体C1q结合的部位是|VH、VL|CH、CL|CH2|CH3|CH4|D
天然IgG分子为|单体|二聚体|三聚体|四聚体|五聚体|A
天然IgM分子为|单体|二聚体|三聚体|四聚体|五聚体|E
SIgA分子为|单体|二聚体|三聚体|四聚体|五聚体|B
# 第三章抗原选择题题库
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
抗原的基本特性是|异物性和免疫反应性|免疫原性和免疫反应性|免疫反应性和异物性|免疫反应性和特异性|免疫原性和特异性|B
抗原表位是|抗原决定基|50个氨基酸组成的肽|锚定氨基酸|复杂大分子|佐剂|A
决定抗原特异性的分子基础是|抗原分子的物理性状|抗原分子的异物性|抗原分子所含的特殊化学基团|抗原分子量的大小|抗原结构的复杂型|C
关于T细胞表位的特性,错误的是|位于抗原分子任意部位|可直接被TCR识别|含8~17个氨基酸|线性表位|小分子多肽|B
半抗原属于|不完全抗原|自身抗原|超抗原|非胸腺依赖性抗原|耐受原|A
关于B细胞表位的特性,错误的是|受体是BCR|构象表位|线性表位|存在于抗原表面|需要MHC分子|E
同一种属供体和受体间引起器官移植排斥反应的物质属于|自身抗原|同种异型抗原|异种抗原|异嗜性抗原|隐蔽抗原|B
关于半抗原的特性,正确的是|有免疫原性和免疫反应性|有免疫原性,无免疫反应性|有免疫反应性,无免疫原性|与载体结合后才能与相应抗体结合|多克隆激活剂|C
同种异型抗原是|同种不同个体的遗传标志|介导超敏反应的抗原|同种所有个体的遗传标志|在同种不同个体间不诱导免疫应答|异嗜性抗原|A
雌性动物相对雄性动物容易诱导的免疫应答类型是|CD4⁺Th1应答|CD8⁺T应答|免疫耐受应答|抗体应答|细胞因子应答|D
能刺激B细胞增殖的超抗原为|热休克蛋白(HSP)|金黄色葡萄球菌肠毒素A|A族溶血性链球菌M蛋白|HIV的gp120|肿瘤抗原|B
属于非胸腺依赖性抗原的是|绵羊红细胞|卡介苗|脂多糖|类毒素|鸡卵清白蛋白|C
佐剂是|特异性免疫增强剂|多克隆激活剂|免疫抑制剂|非胸腺依赖性抗原|抗原提呈细胞刺激剂|E
构象表位属于|CD4⁺T细胞表位|CD8⁺T细胞表位|线性表位|顺序表位|B细胞表位|E
由8~10个氨基酸组成的表位是|B细胞表位|CD4⁺T细胞表位|CD8⁺T细胞表位|自身抗原表位|超抗原|C
结构复杂的大蛋白抗原是|半抗原|完全抗原|载体抗原|交叉抗原|异种抗原|B
下列关于佐剂的叙述,错误的是|常用于实验动物的是弗氏佐剂|与抗原混合后可增加抗原在体内存留时间|可刺激巨噬细胞抗原处理和提呈能力|可刺激辅助性T细胞增殖|可激活人体T细胞库的10%的克隆|E
青霉烯酸是|完全抗原|肿瘤抗原|自身抗原|半抗原|超抗原|D
关于T细胞表位,正确的是|位于抗原分子表面|可直接激活T细胞|属于线性表位或构象表位|需要与MHC分子结合|属于完全抗原|D
免疫原性很弱的分子是|鸡卵清白蛋白|胰岛素|明胶分子|病毒蛋白|脂多糖|C
具有较强免疫原性的抗原是|颗粒抗原|可溶性抗原|小分子抗原|多糖抗原|脂类抗原|A
含共同抗原表位的不同抗原称|共同抗原|交叉抗原|同种异型抗原|异嗜性抗原|独特型抗原|B
胸腺依赖性抗原是|TD-Ag|SAg|Ab|hapten|autoantigen|A
以下属于佐剂的是|SAg|CpG|SEA|SPA|MHC|B
含有结核分枝杆菌成分的佐剂是|脂质体|病毒样颗粒|多聚肌苷酸-胞苷酸|氢氧化铝|弗氏佐剂|E
金黄色葡萄球菌肠毒素A是一种|佐剂|丝裂原|半抗原|耐受原|超抗原|E
需要与MHC分子结合的抗原是|佐剂|T细胞表位|B细胞表位|构象表位|非胸腺依赖性抗原|B
不属于TI-Ag的是|血清蛋白|脂多糖|荚膜多糖|聚合鞭毛素|TGF-β|A
关于胸腺依赖性抗原,正确的是|位于胸腺内部的抗原|需要在胸腺中才能诱导免疫应答的抗原|刺激B细胞产生抗体需要T细胞辅助的抗原|刺激T细胞应答需要B细胞辅助的抗原|不需要T、B细胞辅助的抗原|C
同时为TI-Ag和丝裂原的抗原是|金黄色葡萄球菌肠毒素A|马血清抗毒素|鞭毛蛋白|细菌CpG|脂多糖|E
异嗜性抗原是|细菌与病毒共同具有的抗原|细菌特有的抗原|人与细菌共有的抗原|人与人之间共有的抗原|细菌之间共有的抗原|C
抗原结合价是|一个抗原中T细胞表位的数目|抗原的氨基酸长度|一个抗原中能与抗体结合的抗原表位数目|半抗原结合载体的能力|抗原的易接近性|C
普通抗原能特异性激活人体总T细胞库的T细胞克隆比例是|1/1000000至1/10000|1/10000至1/1000|1/1000至1/100|2/100至20/100|1/10至1/2|A
交叉抗原的特性是|诱导激活多克隆T细胞|诱导的特异性抗体可与其他抗原中的共同表位结合|只存在于不同人之间|单独没有免疫原性|是一种丝裂原|B
霍乱肠毒素是一种|超抗原|TI-Ag|半抗原|佐剂|丝裂原|D
关于内源性抗原的描述,正确的是|在胞质中被加工为抗原肽|在内体溶酶体中被降解|与MHCII类分子结合|激活CD4⁺T细胞|无需抗原提呈|A
关于外源性抗原的描述,正确的是|包括病毒合成蛋白|包括肿瘤细胞蛋白|与MHCI类分子结合|激活CD8⁺T细胞|需要抗原提呈|E
关于超抗原的描述,错误的是|激活大量T细胞|激活大量B细胞|结合TCR的Vβ链外侧|结合MHC分子沟槽外侧|非特异性免疫刺激剂|B
变应原又称|移植抗原|肿瘤抗原|自身抗原|超抗原|过敏原|E
可诱导抗抗体的抗原是|独特型抗原|半抗原|超抗原|耐受原|过敏原|A
下列哪种方法和手段有助于增强抗原的免疫原性|静脉注射|注射大剂量抗原|抗原混合弗氏佐剂|口服抗原|注射可溶性抗原|C
以下不属于佐剂的是|CpG|SEA|霍乱肠毒素|卡介苗|氢氧化铝|B
脂多糖可多克隆激活的免疫细胞类型是|人T细胞|小鼠B细胞|人肥大细胞|小鼠胸腺细胞|T细胞和DC细胞|B
PolyI:C是一种|半抗原|肿瘤抗原|过敏原|丝裂原|佐剂|E
关于半抗原-载体效应,下列描述正确的是|载体负责激活B细胞|半抗原负责激活T细胞|载体中的T细胞表位激活T辅助细胞|载体的主要作用是显著增大分子量|载体显著改变了半抗原的空间构象|C
患儿,7岁,足跟被生锈铁钉刺破3天未作处理,出现全身乏力、头晕、头痛、咀嚼无力、张口困难、颈部发硬、反射亢进、烦躁不安症状就诊,临床诊断:破伤风。紧急注射抗破伤风毒素血清制剂,并予以青霉素、地西泮肌注治疗,10天后症状缓解,但患儿出现发热、皮疹、淋巴结肿大和蛋白尿等副作用,2周后症状逐渐消失。引起后期副作用症状的抗破伤风毒素血清制剂中的抗原是|超抗原|半抗原|耐受原|异种抗原|自身抗原|D
患者,女性,40岁,因心慌气短、眩晕、乏力、呼吸困难、下肢浮肿等症状1个月就诊,心电图和心脏超声检查显示,左心室增大、心脏瓣膜病变,实验室检查证实感染A族溶血链球菌。临床诊断:风湿性心脏病。则该患者发病的主要机制为|A族溶血链球菌感染心肌细胞|A族溶血链球菌破坏红细胞导致氧含量不足|抗A族溶血链球菌抗原的抗体交叉攻击人心肌细胞|A族溶血链球菌异常激活补体|A族溶血链球菌刺激细胞因子过度释放|C
患儿,男,4岁,因上呼吸道细菌感染,在乡村卫生院静脉滴注青霉素,未进行皮试,滴注15分钟后出现急性休克,经肾上腺素注射脱离危险。出现急性青霉素休克的原因是|青霉素降解产物为变应原|青霉素诱导的急性肝脏毒性损伤|青霉素为超抗原|青霉素剂量过大|该患儿为免疫缺陷患者|A
患儿,男性,5岁,幼时对鸡蛋、牛奶、鱼虾等过敏并伴过敏性鼻炎,因皮肤干燥,颊部、颈部四肢屈侧皮肤对称性的炎性、渗出性、湿疹性皮损、反复剧烈瘙痒3个月就诊,实验室检查见血清总IgE升高,达1247IU/ml,外周血酸性粒细胞显著增高达425×10⁶/ml,皮损组织检出金黄色葡萄球菌,临床诊断:特应性皮炎。口服CyA(5mg/kg/d)和头孢菌素(25mg/kg/d),皮损外用匹罗莫星软膏涂抹,治疗2周见效。则金黄色葡萄球菌促进特应性皮炎发病的主要机制为|细菌超抗原非特异性大量激活患儿T细胞、巨噬细胞|细菌毒素直接破坏皮肤组织|细菌的慢性感染导致患儿免疫低下|细菌破坏患儿T细胞|细菌感染导致患儿肠道菌群紊乱|A
患者,男性,30岁,因长期腹痛腹泻、日腹泻5次以上、血便和黏液样便、伴阵发性肠痉挛性疼痛、发热、消瘦、贫血、营养障碍、衰弱等症状半年就诊。粪便检查肉眼可见黏液脓血、肠镜检查显示:直肠和乙状结肠弥漫性浅表溃疡性病变,黏膜血管纹理消失,黏膜充血水肿,接触出血和脓性分泌物附着。血清学检出针对O14大肠杆菌抗原的IgG抗体增高。临床诊断:溃疡性结肠炎。采用强的松和柳氮磺胺吡啶水杨酸制剂治疗缓解了症状。推测该患者发生溃疡性结肠炎的主要机制之一是|患者免疫力低下|患者结肠黏膜与O14大肠杆菌具有共同交叉抗原|O14大肠杆菌破坏红细胞|患者结肠发生癌变|患者饮食不洁导致|B
可诱导最强免疫应答的免疫途径是|皮下注射|肌肉注射|静脉注射|口服|滴鼻|A
容易诱导免疫耐受的免疫途径是|皮下注射|肌肉注射|静脉注射|口服|滴鼻|D
容易诱导呼吸道抗体应答的免疫途径是|皮下注射|肌肉注射|静脉注射|口服|滴鼻|E
与A族链球菌感染人体诱导风湿性心脏病相关的抗原是|交叉抗原|异种抗原|耐受原|变应原|半抗原|A
与反复注射马血清导致血清病相关的抗原是|交叉抗原|异种抗原|耐受原|变应原|半抗原|B
不能单独诱导免疫应答的抗原是|交叉抗原|异种抗原|耐受原|变应原|半抗原|E
诱导鸡蛋过敏的抗原是|交叉抗原|异种抗原|耐受原|变应原|半抗原|D
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
属于人类中枢免疫器官的是|脾|扁桃体|骨髓|阑尾|淋巴结|C
通常以分泌形式存在的分子是|BCR|MHC分子|TCR|抗体分子|黏附分子|D
不属于外周免疫器官的是|脾脏|淋巴结|黏膜相关淋巴组织|皮肤相关淋巴组织|胸腺|E
人类T淋巴细胞分化成熟的部位是|胸腺|脾脏|法氏囊(腔上囊)|淋巴结|骨髓|A
机体抵抗病原微生物感染的功能称为|免疫自稳|免疫防御|免疫耐受|免疫监视|免疫调节|B
具有抗原提呈作用的固有免疫细胞是|T细胞|B细胞|巨噬细胞|NK细胞|粒细胞|C
能特异性识别结合APC表面抗原肽-MHC分子复合物的淋巴细胞是|γδT细胞|αβT细胞|B1细胞|B2细胞|NK细胞|B
提呈抗原能力最强的细胞是|巨噬细胞|B细胞|T细胞|DC|内皮细胞|D
免疫细胞不包括|粒细胞|抗原提呈细胞|巨噬细胞|成纤维细胞|淋巴细胞|D
适应性免疫的特点是|可产生免疫记忆|无针对病原体的特异性|经遗传获得|包括物理屏障和化学屏障作用|感染早期迅速发挥作用|A
固有免疫细胞不具备的应答特点是|没有免疫记忆功能,不能引起再次应答|免疫应答维持时间较短|经克隆扩增和分化后,迅速产生免疫效应|直接识别病原体某些共有高度保守的配体分子|识别结合相应配体后,立即产生免疫应答|C
表面具有模式识别受体的细胞是|αβT细胞|γδT细胞|Treg细胞|巨噬细胞|B细胞|D
可产生免疫记忆的细胞是|NK细胞|γδT细胞|αβT细胞|B1细胞|巨噬细胞|C
能辅助抗体产生溶菌作用的是|细胞因子|补体|NK细胞|巨噬细胞|T细胞|B
执行特异性免疫功能的细胞是|γδT细胞|αβT细胞|DC细胞|巨噬细胞|NK细胞|B
在固有免疫和适应性免疫中均起重要作用的细胞是|B细胞|浆细胞|T细胞|中性粒细胞|巨噬细胞|E
属于专职抗原提呈细胞的是|中性粒细胞|树突状细胞|内皮细胞|NK细胞|肥大细胞|B
适应性免疫应答不具备的特点是|无需抗原激发|T/B细胞库具有高度异质性|淋巴细胞与相应抗原的结合具有高度特异性|具有再次应答的能力|精确区分"自身"和"非己"|A
最早经免脑传代制成的减毒活疫苗是|流感疫苗|狂犬病疫苗|麻疹疫苗|脊髓灰质炎活疫苗|卡介苗|B
发现补体的科学家是|Bover|Burnet|Behring|Bordet|Richet|D
免疫球蛋白基因结构重排理论的提出者是|Ehrlich|Tonegawa|Snell|Doherty|Metchnikoff|B
新生儿先天性胸腺缺陷时|细胞免疫功能缺陷,体液免疫功能下降|细胞免疫功能正常,体液免疫功能下降|细胞免疫功能缺陷,体液免疫功能正常|细胞免疫功能缺陷,体液免疫功能升高|细胞免疫功能正常,体液免疫功能正常|A
不属于克隆选择学说的观点|成熟淋巴细胞接受抗原刺激后生成的效应细胞只能对相应的抗原产生应答|众多的淋巴细胞克隆具有各自特异的抗原受体|具有相同抗原受体的淋巴细胞克隆来自于不同淋巴祖细胞|成熟淋巴细胞可识别外来抗原,并发生活化和克隆扩增|在胚胎发育早期,未成熟淋巴细胞识别结合自身抗原后可被清除|C
最早创造用人痘苗接种预防天花的国家是|日本|英国|俄国|朝鲜|中国|E
最早发明减毒活疫苗的科学家是|Burnet|Koch|Porter|Pasteur|Jenner|D
因研究过敏反应而获得诺贝尔奖的学者是|Behring|Bordet|Landsteiner|Richet|Kabat|D
首次应用抗毒素进行预防接种的科学家是|Behring|Burnet|Jenner|Border|Pasteur|A
首次用于人工被动免疫的制剂是|破伤风类毒素|破伤风抗毒素|白喉类毒素|肉毒类毒素|白喉抗毒素|E
英国科学家Jenner发明了|白喉抗毒素|狂犬疫苗|牛痘苗|人痘苗|卡介苗|C
实验发现鸡切除腔上囊后|细胞免疫功能正常,体液免疫功能下降|细胞免疫功能缺陷,体液免疫功能正常|细胞免疫功能正常,体液免疫功能升高|细胞免疫功能缺陷,体液免疫功能下降|细胞免疫功能正常,体液免疫功能正常|A
提出抗体产生的侧链学说的学者是|Bordet|Medawar|Behring|Ehrlich|Burnet|D
因研究肾脏和骨髓移植获得诺贝尔奖的科学家是|Benacerraf、Dausset 和 Snell|Tislius和Kabat|Marry 和Thomas|Milstein和Kohler|Doherty 和Zinkermagel|C
阐明抗体的化学结构的科学家是|Porter 和Edelman|Benacerraf 和Snell|Burnet 和 Medawar|Doherty 和Zinkernagel|Marry 和Thomas|A
发现ABO血型抗原,建立玻片凝集实验检测血型抗原的生理学家是|Miller|Pasteur|Koch|Jerne|Landsteiner|E
MHC限制性的提出者是|Porter和Edelman|Doherty 和Zinkernagel|Marry 和Thomas|Benacerraf、Dausset 和 Snell|Burnet 和Medawar|B
免疫网络学说的提出者是|Milstein|Jerne|Kohler|Burnet|Owen|B
以下关于固有免疫的说法错误的是|作用迅速|无免疫记忆|对病原体无严格选择性|又称非特异性免疫应答|作用过程无炎症细胞参与|E
膜型免疫分子包括|淋巴细胞抗原识别受体、MHC分子、CD分子、补体|CD分子、MHC分子、细胞因子|淋巴细胞抗原识别受体、细胞因子、MHC分子|淋巴细胞抗原识别受体、MHC分子、CD分子|MHC分子、CD分子、补体|D
免疫防御功能低下的机体易发生|肿瘤|超敏反应|自身免疫病|反复感染|免疫增生性疾病|D
机体免疫自稳功能失调,可引发|免疫缺陷病|病毒持续感染|肿瘤|免疫增生性疾病|自身免疫病|E
机体免疫防御反应异常增高,可引发|肿瘤|超敏反应|严重感染|免疫缺陷病|自身免疫病|B
机体免疫监视功能低下时易发生|免疫耐受|自身免疫病|移植排斥反应|超敏反应|肿瘤|E
不属于免疫生物治疗的方法是|抗生素用于感染性疾病的治疗|细胞因子治疗自身免疫性疾病|造血干细胞移植对于白血病的治疗|单克隆抗体制剂用于移植排斥反应|修饰后效应T细胞对肿瘤的治疗|A
免疫功能正常的人不易得恶性肿瘤,艾滋病等免疫功能低下或缺陷的人患恶性肿瘤的概率则大幅度上升,这是因为免疫系统具有以下哪种功能|免疫防御|免疫耐受|免疫监视|免疫调节|免疫自稳|C
患者,男性,35岁。确诊艾滋病5年,近一年反复发生口腔念珠菌感染,最可能的原因是|HIV感染导致该患者免疫监视功能下降|HIV感染导致该患者免疫监视功能增强|HIV感染导致该患者免疫自稳功能紊乱|HIV感染导致该患者免疫防御功能下降|HIV感染导致该患者免疫防御功能增强|D
患者,男性,40岁。反复不明原因发烧6个月,到医院就诊,检查发现HIV抗体呈阳性。血常规检查,比例与数量下降最明显的细胞最可能的是|红细胞|血小板|中性粒细胞|T淋巴细胞|B淋巴细胞|D
患者,男性,42岁,确诊艾滋病5年,近期被诊断患了卡波氏肉瘤,最可能的原因是|HIV感染导致该患者免疫监视功能下降|HIV感染导致该患者免疫监视功能增强|HIV感染导致该患者免疫自稳功能紊乱|HIV感染导致该患者免疫防御功能下降|HIV感染导致该患者免疫防御功能增强|A
感染埃博拉病毒后的紧急的、免疫特异性的治疗措施是|抗病毒化学治疗|接种埃博拉疫苗|注射干扰素|注射痊愈后的埃博拉病毒感染者的血清|防止出血、肾功能衰竭等对症治疗|D
患者,女性,65岁,被恶狗咬伤后到医院就诊,检查发现创面较深,医生给予注射狂犬病疫苗的同时,还给患者注射了狂犬病血清,该血清中的有效成分是|狂犬病毒抗原|抗狂犬病毒抗体|补体|干扰素|狂犬病毒特异性T淋巴细胞|B
患者,男性,52岁,2月前开始出现上腹部隐痛不适,进食后明显,伴饱感,食欲逐渐下降,当地医院按"胃炎"进行治疗,稍好转。近半月自觉乏力,体重较2个月前下降3公斤。近日大便色黑。来我院就诊,经进一步检查确诊为胃癌。该患者患该病的原因是|免疫耐受功能紊乱|免疫监视功能失调|免疫自稳功能紊乱|免疫防御功能下降|免疫防御功能增强|B
冬季流感高发,医生建议提前注射流感疫苗,尤其是儿童和老年人等免疫力较低者,注射流感疫苗属于|自然主动免疫|自然被动免疫|人工主动免疫|人工被动免疫|细胞过继被动免疫|C
水痘是由水痘-带状疱疹病毒感染导致的自限性疾病,病后可终身免疫,不再患水痘。这种现象主要是由以下哪种细胞介导的|巨噬细胞|NK细胞|树突状细胞|中性粒细胞|淋巴细胞|E
癌症没有传染性,即便将癌症患者的肿瘤细胞注射到免疫功能正常的人体内,被注射者也不会得该种癌症。这是因为免疫系统具有|免疫防御功能|免疫耐受功能|免疫监视功能|免疫调节功能|免疫自稳功能|A
与超敏反应发生相关的是|免疫监视功能|免疫自稳功能失调|免疫防御功能|免疫防御作用过高|免疫监视功能失调|D
能清除自身损伤衰老细胞的是|免疫监视功能|免疫自稳功能失调|免疫防御功能|免疫防御作用过高|免疫监视功能失调|A
能清除病原微生物的是|免疫监视功能|免疫自稳功能失调|免疫防御功能|免疫防御作用过高|免疫监视功能失调|C
能引起自身免疫病的是|免疫监视功能|免疫自稳功能失调|免疫防御功能|免疫防御作用过高|免疫监视功能失调|B
能引起肿瘤的是|免疫监视功能|免疫自稳功能失调|免疫防御功能|免疫防御作用过高|免疫监视功能失调|E
能够特异性识别APC表面抗原肽-MHC分子复合物的细胞是|树突状细胞|NK细胞|巨噬细胞|B细胞|αβT细胞|E
具有抗原提呈作用和抗体分泌功能的细胞是|树突状细胞|NK细胞|巨噬细胞|B细胞|αβT细胞|D
不具有抗原提呈作用,具有非特异性杀伤作用的细胞是|树突状细胞|NK细胞|巨噬细胞|B细胞|αβT细胞|B
具有抗原提呈能力,可激活初始T细胞的细胞是|树突状细胞|NK细胞|巨噬细胞|B细胞|αβT细胞|A
具有抗原提呈和吞噬杀菌能力的细胞是|树突状细胞|NK细胞|巨噬细胞|B细胞|αβT细胞|C
Owen|提出早期细胞免疫的概念|发现天然免疫耐受现象|发现免疫球蛋白编码基因的重排|证明了抗体由四条肽链组成|克隆出TCR编码基因|B
