以下为**纯单行分隔符格式**的所有单选题（原文档无判断题和多选题），采用**【题目||选项A||选项B||选项C||选项D||选项E||正确答案】** 标准格式，无任何多余格式和换行，可直接复制粘贴导入绝大多数游戏题库系统。所有B1型共用备选答案题已转换为独立题目，每个题目自带完整选项。
不属于细菌特殊结构的是||荚膜||鞭毛||质粒||芽胞||菌毛||C
与内毒素有关的细菌结构是||外膜||核膜||线粒体膜||荚膜||细胞膜||A
关于内毒素脂质A，不正确的描述是||为内毒素主要毒性成分||为内毒素主要生物活性组分||无种属特异性||由革兰阳性菌产生||高温不易破坏||D
与细菌L型形成无关的诱发因素是||溶酶菌||溶葡萄球菌素||透明质酸酶||胆汁||青霉素||C
可用于鉴别细菌的结构是||原生质体||异染颗粒||包涵体||线粒体||中介体||B
与细菌侵袭力有关的表面结构是||芽胞||荚膜||质粒||线粒体||包涵体||B
红霉素的杀菌机制为||破坏细菌细胞膜结构||抑制细菌蛋白质的合成||抑制细菌的核酸代谢||干扰细胞壁脂多糖合成||干扰细胞壁肽聚糖合成||B
男性，22岁，因高热、咳嗽5天急诊入院。患者5天前洗澡受凉后出现寒战，体温高达40°C，伴咳嗽、咳痰，痰少呈铁锈色，无痰中带血，无胸痛。口服抗生素及止咳、退热剂3天后不见好转，体温仍波动于38.5~40°C。急性热病容，神志清楚，无皮疹，浅表淋巴结无肿大，巩膜无黄染，咽(-)，气管居中。左中上肺叩浊音，语颤增强，可闻湿性啰音，叩诊心界不大，心率100次/分，律齐，无杂音。腹平软，肝脾未及，病理反射未引出。实验室检查：Hb140g/L，WBC 12×10^9/L，N 82%，L 18%，PLT 180×10^9/L；尿常规(-)；粪便常规(-)，初步诊断为大叶性肺炎。该病原体的主要致病物质是||荚膜||脂质||鞭毛||内毒素||菌毛||A
一名五岁女孩因高热、意识模糊而入院，查体发现病孩面色苍白，昏迷，时有惊厥，两瞳孔不等大，呼吸微弱，粪检有脓细胞4个，白细胞数16×10^9/L，脑脊液正常。常规粪便培养发现有革兰阴性杆菌，无动力。临床诊断为中毒性痢疾。该女孩所感染病原体的主要致病物质是||芽胞||鞭毛||菌毛||内毒素||外毒素||D
一青年近3天咳嗽，高热39°C，铁锈色痰，WBC 18.5×10^9/L，X线胸片发现右肺叶有大片阴影，临床诊断为大叶性肺炎，请问该致病菌的主要致病物质是||鞭毛||荚膜||外毒素||内毒素||菌毛||B
一男性青年发热休克，3天前开始头痛入院，当天意识不清，昏迷，体温41°C，血压70/30mmHg，躯干皮肤出现红色斑点。用药后血压仍继续下降，第3天死亡。血培养发现革兰阴性肾形双球生长菌。请问该病原菌的主要致病物质为||荚膜||鞭毛||外毒素||内毒素||芽胞||D
某患者因近3天腹泻腹痛前来就诊，自述有里急后重感，便内有脓血，疑似痢疾。试问痢疾志贺菌的主要致病物质为||内毒素||细胞毒素||类毒素||肠毒素||菌毛||A
王某，48岁，建筑工人，因牙关紧闭、四肢痉挛而入院。8天前右脚被铁钉扎伤，伤口深，但几日后自愈。5天后，右腿有些麻木和疼痛，咀嚼不便，吞咽困难，最后全身抽搐，四肢痉挛。入院诊断为破伤风，请问该病原菌的主要致病物质是||芽胞||菌毛||荚膜||外毒素||内毒素||D
某幼儿园3岁小朋友，以发热、咽痛、呼吸困难入院。查体：体温38.5°C，口腔黏膜上散在白色斑点，咽部及扁桃体有一层灰白色膜，疑是白喉。请问该传染病的病原菌经奈瑟染色后，有助于诊断的细菌结构是||质粒||异染颗粒||荚膜||芽胞||鞭毛||B
白喉棒状杆菌异染颗粒的主要成分是||磷壁酸||SPA||脂质A||多糖||多偏磷酸盐||E
葡萄球菌重要的表面抗原是||磷壁酸||SPA||脂质A||多糖||多偏磷酸盐||B
肺炎链球菌荚膜的主要成分是||脂质A||多肽||多糖||磷壁酸||肽聚糖||C
革兰阴性菌内毒素的主要成分是||脂质A||多肽||多糖||磷壁酸||肽聚糖||A
细菌染色体以外的遗传物质是||鞭毛||菌毛||质粒||细胞壁||细胞膜||C
细菌中介体起源于||鞭毛||菌毛||质粒||细胞壁||细胞膜||E
G+细菌细胞壁结构成分是||脂质A||磷壁酸||质粒||异染颗粒||外膜||B
细菌内毒素的毒性部分是||脂质A||磷壁酸||质粒||异染颗粒||外膜||A
革兰阳性菌与阴性菌细胞壁共有的化学成分是||肽聚糖||磷壁酸||外膜||脂质A||特异性多糖||A
青霉素能抑制合成的物质是||肽聚糖||磷壁酸||外膜||脂质A||特异性多糖||A
功能与真核细胞线粒体类似的结构是||质粒||中介体||异染颗粒||核糖体||脂多糖||B
参与革兰阳性菌分裂繁殖的结构是||质粒||中介体||异染颗粒||核糖体||脂多糖||B
有利于白喉棒状杆菌形态学鉴定的结构是||质粒||中介体||异染颗粒||核糖体||脂多糖||C
判断灭菌彻底有效的指标是||芽胞||荚膜||鞭毛||普通菌毛||性菌毛||A
与细菌运动有关的结构是||芽胞||荚膜||鞭毛||普通菌毛||性菌毛||C
具有黏附作用可增强细菌侵袭力的结构是||芽胞||荚膜||鞭毛||普通菌毛||性菌毛||D
在人工培养基中，能生长的最小的微生物是||螺旋体||衣原体||放线菌||立克次体||支原体||E
最小的原核细胞型微生物是||螺旋体||衣原体||放线菌||立克次体||支原体||B
缺乏细胞壁的原核细胞型微生物是||螺旋体||衣原体||放线菌||立克次体||支原体||E
肺炎链球菌具有||芽胞||鞭毛||荚膜||异染颗粒||菌毛||C
痢疾志贺菌具有||芽胞||鞭毛||荚膜||异染颗粒||菌毛||E
白喉棒状杆菌具有||芽胞||鞭毛||荚膜||异染颗粒||菌毛||D

### 第二章 细菌的生理
细菌生长的稳定期||细菌繁殖数和死亡数大体相等||细菌代谢速度最快||细菌不形成芽胞||细菌的形态、染色性、生理活性较典型||细菌极少繁殖||A
下列监测细菌生化反应的试验中，用于检测吲哚试验的是||甲基红试验||尿素酶试验||柠檬酸盐利用试验||吲哚试验||硫化氢实验||D
不属于细菌代谢产物的是||内毒素||外毒素||抗毒素||抗生素||细菌素||C
不是抗生素的范畴的是||可由真菌产生||可由放线菌产生||可由细菌产生||只对产生菌、有近缘关系菌有杀伤作用||对微生物有抑制作用||D
细菌代谢产物中与致病性无关的是||外毒素||内毒素||侵袭性酶||色素||热原质||D
关于热原质的叙述，下列哪项是错误的||多由革兰阴性菌产生||本质是细菌细胞壁中的脂多糖||注入人体内能引起发热反应||高压蒸汽灭菌法可破坏热原质||250°C高温干烤可破坏热原质||D
杀菌作用最强的紫外线波长范围是||245~246nm||250~256nm||265~266nm||270~276nm||280~290nm||C
乙醇杀菌力最强时的浓度是||50%||60%||70%||90%||95%||C
杀灭物体上微生物最彻底的方法称为||消毒||灭菌||过滤除菌||防腐||无菌操作||B
多数细菌繁殖一代所需的时间(代时)为||20~30分钟||30~40分钟||45~55分钟||1小时||2小时||A
研究细菌的生物学性状最好选用细菌生长繁殖期中的||迟缓期||对数期||稳定期||衰亡期||以上都不是||B
能以简单无机物为原料合成复杂原生质的细菌是||异养菌||自养菌||腐生菌||寄生菌||致病菌||B
属于细菌分解性代谢产物的是||热原质||硫化氢||外毒素||维生素||抗生素||B
大肠埃希菌产生的大肠菌素为||热原质||毒素||抗生素||细菌素||维生素||D
所有的病原菌都是||自养菌||嗜冷菌||嗜热菌||腐生菌||异养菌||E
病原菌大多数属于||专性需氧菌||兼性厌氧菌||微需氧菌||专性厌氧菌||嗜热菌||B
大多数病原菌生长的最适温度为||28°C||30°C||32°C||37°C||39°C||D
大多数病原菌生长的最适pH为||3.2~5.2||5.2~7.1||7.2~7.6||7.7~8.8||8.9~9.2||C
细菌主要以什么方式进行繁殖||复制||有丝分裂||有性繁殖||形成孢子||二分裂法||E
药敏试验应选用哪期的细菌||迟缓期||对数期||稳定期||衰亡期||晚期||B
关于外毒素的叙述错误的是||革兰阳性菌产生||也可由革兰阴性菌产生||毒性较强||为细菌细胞壁的组成成分||可制成类毒素||D
关于内毒素的叙述错误的是||革兰阴性菌细胞壁的组成成分||对组织器官有选择性毒害效应||菌体死亡崩解后才释放||不可制成类毒素||加热100°C1小时不能使内毒素失活||B
IMViC试验常用于鉴别||肠道杆菌||葡萄球菌||肺炎球菌||脑膜炎奈瑟菌||厌氧菌||A
细菌对糖的分解能力不同，主要是由于||营养型不同||酶系统不同||糖的种类不同||氧气存在与否||细胞膜通透性不同||B
女性，23岁。在进行性行为时，膀胱内感染了10个大肠杆菌。大肠杆菌的代时为20分钟。在20分钟之后，大肠杆菌进入生长的对数期。经过3小时的对数生长后，细菌细胞总数为||2560||5012||90||1028||1000000||B
女性，73岁。该病人被送往医院，进行静脉注射治疗由金黄色葡萄球菌引起的脓肿。在该病人医院治疗出院后，对医院室进行必要消毒，一千个金黄色葡萄球菌暴露于消毒剂。10分钟后，90%的细胞被杀死。20分钟后有多少个细胞仍然存活||500||100||10||1||0||C
除去液体中热原质最好的方法是||滤过除菌法||化学消毒剂||蒸馏法||巴氏消毒法||高压蒸汽灭菌法||C
热力灭菌的方法中，效力最强的是||滤过除菌法||化学消毒剂||蒸馏法||巴氏消毒法||高压蒸汽灭菌法||E
消毒酒类最好的方法是||滤过除菌法||化学消毒剂||蒸馏法||巴氏消毒法||高压蒸汽灭菌法||D
被污染的血清、毒素常采用哪种方法处理||滤过除菌法||化学消毒剂||蒸馏法||巴氏消毒法||高压蒸汽灭菌法||A
病人粪便标本可用下列哪种方法处理||滤过除菌法||化学消毒剂||蒸馏法||巴氏消毒法||高压蒸汽灭菌法||B
外科手术敷料使用前宜采用的灭菌方法是||160~170°C干烤2小时||紫外线照射法||焚烧法||过滤除菌法||高压蒸汽灭菌法||E
玻璃器皿、滤器、玻璃注射器等的灭菌||160~170°C干烤2小时||紫外线照射法||焚烧法||过滤除菌法||高压蒸汽灭菌法||A
空气或物体表面的消毒常采用||160~170°C干烤2小时||紫外线照射法||焚烧法||过滤除菌法||高压蒸汽灭菌法||B
有传染性的动物尸体的处理||160~170°C干烤2小时||紫外线照射法||焚烧法||过滤除菌法||高压蒸汽灭菌法||C
对含血清、糖的培养基的灭菌，应选用||160~170°C干烤2小时||紫外线照射法||焚烧法||过滤除菌法||高压蒸汽灭菌法||D
常用生理盐水和手术器械等耐热物品的灭菌方法是||煮沸||高压蒸汽灭菌||紫外线消毒||巴氏消毒法||滤菌器过滤||B
目前主要用于牛乳消毒的方法是||煮沸||高压蒸汽灭菌||紫外线消毒||巴氏消毒法||滤菌器过滤||D

### 第三章 噬菌体
下列那一项不符合噬菌体的特性||只含有一种核酸||既有溶原性周期又有溶菌性周期||严格的宿主特异性||可通过细菌滤器||具有细胞结构||E
溶原性细菌是||被毒性噬菌体感染的细菌||能产生细菌素的细菌||带有F质粒的细菌||带有R质粒的细菌||带有前噬菌体的细菌||E
噬菌体在分类上属于||支原体||原虫||真菌||病毒||细菌||D
白喉棒状杆菌能够产生白喉毒素是因为其基因组发生了||转化||转导||接合||基因突变||溶原性转换||E
前噬菌体是||整合至宿主菌染色体上的噬菌体基因组||进入宿主菌内的噬菌体核酸||吸附至细菌表面的噬菌体||尚未完成装配的子代噬菌体基因组||成熟的子代噬菌体||A
只有溶菌性周期没有溶原性周期的噬菌体是||毒性噬菌体||温和噬菌体||前噬菌体||大肠埃希菌λ噬菌体||β-棒状杆菌噬菌体||A
下列细胞中，不受噬菌体侵袭的是||淋巴细胞||真菌细胞||细菌细胞||螺旋体细胞||衣原体细胞||A
溶原性细菌不被密切相关的噬菌体感染的主要原因是||该噬菌体不能穿入||该噬菌体不能释放||该噬菌体在胞内不能装配合成子代噬菌体||该噬菌体不能复制||产生"免疫"，使该噬菌体不能吸附||E
毒性噬菌体感染细菌后导致细菌||快速繁殖||停止繁殖||产生毒素||基因突变||裂解||E
白喉患者的病原体是白喉棒状杆菌，其症状主要由无毒的白喉棒状杆菌获得了产生白喉毒素的能力所致，其产生白喉毒素的机制是||是其质粒控制产生||因感染β-棒状杆菌噬菌体所致||感染了大肠埃希菌λ噬菌体所致||感染了衣原体所致||感染了支原体所致||B

### 第四章 细菌的遗传与变异
细菌的成分中，染色体外的遗传物质是||质粒||rRNA||mRNA||异染颗粒||菌毛||A
细菌耐药基因可通过多种方式发生水平转移，其中R质粒转移的方式为||转化||转染||转导||接合||溶原性转换||D
棒状杆菌噬菌体基因组携带白喉毒素基因，当其感染白喉棒状杆菌无毒株后其基因组整合于染色体，细菌成为溶原性细菌，可产生白喉毒素，这种基因转移的方式称为||转化||转染||转导||接合||溶原性转换||E
F因子整合于细菌染色体后，可使其染色体发生水平转移，导致细菌的某些特性发生改变，染色体中整合有F因子的细菌称为||F-细菌||F+细菌||Hfr菌(高频重组菌)||耐药菌||溶原性细菌||C
活IIR型链球菌(不产荚膜)与灭活IIS型链球菌(产荚膜)混合培养后，出现了可产生荚膜的活IIS型链球菌，这种基因转移方式称为||转化||转染||转导||接合||基因转位||A
以噬菌体为媒介将供体菌的DNA片段转移到受体菌，使其获得新的遗传性状，这种基因转移方式称为||转化||转染||转导||接合||基因转位||C
不携带耐药基因或其他基因的遗传元件是||染色体||插入序列||质粒||噬菌体||转座子||B
在细菌接合反应中，受体菌与供体菌配对时需要||供体菌的裂解||性菌毛||双方DNA的转移||限制性内切酶||转座子的整合||B
在下列基因水平转移方式中，对DNA酶处理敏感的是||转座子的整合||接合||转导||溶原性转换||转化||E
溶原性细菌是指||L型细菌||带有毒性噬菌体基因组的细菌||带有前噬菌体的细菌||带有F质粒的细菌||带有转座子的细菌||C
细菌耐药基因可通过多种方式传递，下列可携带耐药基因的遗传物质中不包括||染色体||RTF||R质粒||噬菌体||转座子||B
BCG菌株的变异属于||毒力变异||形态变异||耐药性变异||抗原性变异||荚膜变异||A
有关细菌致病岛特征的描述，错误的是||致病岛基因序列的G+C含量与细菌染色体有明显差异||致病岛基因序列密码子使用偏向性与细菌染色体有明显差异||是建立细菌溶原性周期所必需的||编码与毒力相关的基因||其两侧常含有重复序列||C
细菌基因的转移和重组方式不包括||转化||接合||转导||突变||溶原性转换||D
H-O变异属于||毒力变异||菌落变异||鞭毛变异||耐药性变异||代谢性变异||C
S-R变异属于||毒力变异||菌落变异||鞭毛变异||耐药性变异||代谢性变异||B
能产生外毒素的白喉棒状杆菌是因为其染色体上有||R质粒||F质粒||Vi质粒||Col质粒||前噬菌体||E
介导细菌间接合的结构是||鞭毛||普通菌毛||性菌毛||中介体||异染颗粒||C
关于L型细菌的特性，错误的是||呈多形性||固体培养基上形成"油煎蛋"样菌落||除去抑制物后可以返祖||与亲代菌株一样，不能通过细菌滤器||分离培养需要高渗培养基||D
流产转导指噬菌体携带的外源DNA||未能进入受体菌||进入受体菌后复制||进入受体菌后游离于胞质中，未能与染色体重组||进入受体菌后能与染色体重组，随染色体复制而复制||进入受体菌后被降解||C
有关质粒的描述，错误的是||是细菌染色体外的遗传物质||具有自我复制能力||可自行丢失或经理化因素处理后消除||是细菌生长所必需的结构||带有遗传信息，赋予细菌某些特性||D
最先发现肺炎球菌转化现象的科学家是||Griffith||Avery||Luria||Lederberg||Delbruck||A
供体菌与受体菌通过性菌毛转移DNA||转导||接合||溶原性转换||转化||原生质体融合||B
受体菌直接摄取供体菌的游离DNA片段||转导||接合||溶原性转换||转化||原生质体融合||D
由噬菌体将供体菌的DNA片段传递给受体菌的基因转移方式是||转导||接合||溶原性转换||转化||原生质体融合||A
白喉棒状杆菌由无毒株变成有毒株的方式是||转导||接合||溶原性转换||转化||原生质体融合||C
编码细菌致育性的因子||F因子||X因子||R因子||Col因子||V因子||A
可传递细菌耐药性的因子||F因子||X因子||R因子||Col因子||V因子||C
编码大肠菌素的因子||F因子||X因子||R因子||Col因子||V因子||D
耐药性耐药质粒是||F质粒||V质粒||R质粒||Ent质粒||Col质粒||C
与细菌性菌毛合成有关的质粒是||F质粒||V质粒||R质粒||Ent质粒||Col质粒||A
与高频重组菌株形成有关的质粒是||F质粒||V质粒||R质粒||Ent质粒||Col质粒||A
编码肠毒素的质粒是||F质粒||V质粒||R质粒||Ent质粒||Col质粒||D
编码大肠菌素的质粒是||F质粒||V质粒||R质粒||Ent质粒||Col质粒||E
整合到宿主细胞染色体上的噬菌体基因组称为||毒性噬菌体||温和性噬菌体||前噬菌体||溶原性转换||转导||C
携带毒素基因的噬菌体整合到宿主细胞染色体上，使得细菌获得产生毒素性状的DNA转移方式称为||毒性噬菌体||温和性噬菌体||前噬菌体||溶原性转换||转导||D
通过毒性噬菌体或温和性噬菌体转移DNA的方式是||毒性噬菌体||温和性噬菌体||前噬菌体||溶原性转换||转导||E
具有溶菌周期和溶原周期的噬菌体是||毒性噬菌体||温和性噬菌体||前噬菌体||溶原性转换||转导||B
S-R变异属于||形态结构变异||代谢变异||菌落变异||毒力变异||耐药性变异||C
牛分枝杆菌经13年传代后成为BCG的变异属于||形态结构变异||代谢变异||菌落变异||毒力变异||耐药性变异||D
L型细菌属于||形态结构变异||代谢变异||菌落变异||毒力变异||耐药性变异||A
与接合作用有关的结构是||鞭毛||普通菌毛||性菌毛||轴丝||芽胞||C
与细菌黏附有关的结构是||鞭毛||普通菌毛||性菌毛||轴丝||芽胞||B
不能形成性菌毛的细菌是||F+菌||F-菌||F'菌||Hfr菌||L型细菌||B
具有性菌毛，并带有宿主菌部分染色体的细菌是||F+菌||F-菌||F'菌||Hfr菌||L型细菌||C
具有性菌毛，并将F质粒整合在宿主菌染色体上，引起宿主菌染色体高频转移的细菌是||F+菌||F-菌||F'菌||Hfr菌||L型细菌||D

### 第五章 细菌耐药性
两性霉素B对细菌无效是因为细菌||细胞壁脂质成分||细胞壁肽聚糖成分||细胞壁过于致密||细胞膜缺乏固醇类||细胞膜磷脂成分||D
细菌耐药是指药物对菌株的||最小抑菌浓度小于治疗浓度||最小抑菌浓度等于治疗浓度||最小抑菌浓度大于治疗浓度||最大抑菌浓度小于治疗浓度||最大抑菌浓度大于治疗浓度||C
有关固有耐药性的描述错误的是||来源于细菌染色体上的耐药基因||来源于基因突变||可代代相传||具有典型的种属特异性||始终如一可以预测||B
细菌对三类或三类以上抗菌药物同时耐药称为||单一耐药菌||多重耐药菌||交叉耐药菌||泛耐药菌||超级细菌||B
有关R质粒所致耐药性的描述错误的是||R质粒转移是造成耐药性传播的主要原因||一种R质粒可携带一种或多种耐药性基因群||主要通过接合方式转移||耐药性不稳定||不能在异种细菌之间转移||E
细菌产生多重耐药性的主要途径有||基因突变||转座||转化||R质粒的接合||转座和R质粒的接合||E
抗菌药物的正确使用原则是||使用广谱抗菌药物||大剂量使用药物||少量多次使用药物||根据药敏试验选择药物||联合使用多种药物||D
有计划地将抗菌药物分期分批交替使用的目的是||节约抗菌药物||有利于杀灭各种病原菌||使耐药基因发生回复突变，恢复敏感性||使疗效最佳||按病程发展的要求||C
患者，男，45岁。入院行开颅肿瘤切除术，术后30小时出现意识淡薄，并发高热、高钠血症，脑积水症状加重。治疗后12天再次出现发热，引流脑脊液呈淡黄色乳糜样。细菌培养为鲍曼不动杆菌；药敏试验显示除多黏菌素外，对头孢吡肟、头孢他啶、庆大霉素、莫西沙星、美罗培南、阿莫西林和克拉维酸等均耐药。针对该菌感染，临床规范处理措施错误的是||严格执行消毒制度||隔离患者||以药敏试验为依据选择药物||疗程尽量延长||医护人员定期检查带菌情况||D
患者，女，40岁。2年前无明显诱因出现间断性咳嗽，咳白色黏痰，持续乏力，加重伴气短1个月。胸部X光片和痰检诊断为肺结核，给予抗结核药物联合治疗。从抗菌药物的作用机制考虑，不能用于治疗结核的是||两性霉素||利福平||氧氟沙星||乙胺丁醇||吡嗪酰胺||A
患者，男，10个月婴儿。因脐周感染、发热、哮喘、多汗和黄疸入院，诊断为脐周感染合并肺炎。血培养为耐甲氧西林金黄色葡萄球菌，药敏试验对头孢类、环丙沙星类和复方磺胺甲恶唑耐药，万古霉素和利奈唑胺敏感，用其联合治疗痊愈出院。万古霉素的抗菌机制是||干扰细胞壁合成||破坏细胞膜通透性||抑制蛋白质合成||影响DNA合成||影响RNA合成||A
患者，女，48岁。因尿急、尿频、肉眼血尿收住入院，诊断为尿路感染。给予第三代头孢菌素静脉滴注1周，症状好转后出院。1周后复发，治疗同前，好转出院，再次复发。细菌培养为产ESBL大肠埃希菌。药敏试验对亚胺培南和呋喃妥因敏感，青霉素类和头孢菌素类耐药。改用敏感药物治疗好转。该菌的耐药机制是||主动外排药物||改变自身代谢状态逃避药物作用||药物作用靶位发生改变||产生钝化酶，使药物失去活性||细胞膜通透性改变||D
β-内酰胺类药物是||青霉素G||红霉素||链霉素||土霉素||氯霉素||A
大环内酯类药物是||青霉素G||红霉素||链霉素||土霉素||氯霉素||B
氨基糖苷类药物是||青霉素G||红霉素||链霉素||土霉素||氯霉素||C
### 第六章 细菌的感染与免疫
存在细菌最多的人体部位是||肠道||外耳道||阴道||口腔||皮肤||A
正常情况下，机体有菌的部位是||血液||肝脏||肾脏||骨髓||上呼吸道||E
正常菌群引起感染的条件之一是||发生基因突变||定位转移||变为L型细菌||变为耐药性菌||细菌菌落发生变异||B
与细菌致病性无关的是||菌毛||荚膜||磷壁酸||脂多糖||极体||E
与细菌致病性无关的代谢产物是||透明质酸酶||血浆凝固酶||毒素||细菌素||热原质||D
与细菌侵袭力无关的物质是||菌毛||杀白细胞素||芽胞||透明质酸酶||荚膜||C
具有黏附作用的细菌结构是||普通菌毛||性菌毛||鞭毛||芽胞||外膜||A
革兰阳性菌具有黏附作用的成分是||特异性多糖||磷壁酸||肽聚糖||M蛋白||四肽侧链||B
助长细菌在体内扩散的物质是||透明质酸酶||血浆凝固酶||RNA酶||歧化酶||过氧化氢酶||A
细菌内毒素的化学成分是||肽聚糖||H抗原||荚膜多糖||脂多糖||O抗原||D
内毒素的毒性成分是||脂蛋白||脂多糖||核心多糖||O-特异性多糖||脂质A||E
内毒素不具有的毒性作用是||发热||食物中毒||休克||DIC||白细胞反应||B
能引起内毒素休克的细菌成分是||磷壁酸||肽聚糖||脂多糖||脂蛋白||磷脂||C
关于内毒素的描述，下列哪项不正确||来源于革兰阴性菌细胞壁||性质稳定，耐热||能用甲醛脱毒制成类毒素||其化学成分是LPS||在细菌裂解后释放||C
关于细菌外毒素的描述，下面哪项不正确||多由革兰阳性菌产生||化学成分是蛋白质||耐热，不容易破坏||刺激机体产生抗毒素||经甲醛处理可制成类毒素||C
外毒素的特点之一是||来源于革兰阴性菌||经甲醛处理可制成类毒素||多为细菌裂解后释放||化学成分是脂多糖||对热稳定||B
毒性最强的细菌毒素是||霍乱肠毒素||白喉外毒素||破伤风痉挛毒素||毒性休克综合毒素I||肉毒毒素||E
以神经毒素致病的细菌是||霍乱弧菌||白喉杆菌||肉毒梭菌||金黄色葡萄球菌||产气荚膜梭菌||C
类毒素是经甲醛处理后的||内毒素||抗毒素||细菌素||脱毒外毒素，并保留了抗原性||脱毒外毒素，并失去了抗原性||D
不能引起食物中毒的细菌是||肉毒梭菌||破伤风梭菌||产气荚膜梭菌||金黄色葡萄球菌||肠炎沙门菌||B
关于抗毒素，下列说法正确的是||可以中和游离外毒素的毒性作用||为外毒素经甲醛处理后获得||可以中和细菌内毒素的毒性作用||可中和与易感细胞结合的外毒素的毒性作用||A+D||A
可以引起菌血症的细菌是||肉毒梭菌||霍乱弧菌||白喉棒状杆菌||破伤风梭菌||伤寒沙门菌||E
随着年龄的增长，人体肠道内的哪种细菌明显减少||双歧杆菌||乳酸杆菌||大肠杆菌||葡萄球菌||肠球菌||A
关于机会致病菌的叙述，正确的是||感染的条件是细菌毒力增强||感染的常见诱因是滥用抗生素||均由正常菌群在特殊条件下演变而成||感染的原因是细菌发生耐药性变异||只有在机体免疫功能降低时感染机体||B
霍乱肠毒素的作用机制是||激活肠黏膜腺苷环化酶使cGMP增多||激活肠黏膜腺苷环化酶使cAMP增多||抑制肠黏膜腺苷环化酶使cGMP减少||抑制肠黏膜腺苷环化酶使cAMP减少||抑制肠黏膜转肽酶使cGMP减少||B
内毒素引起发热的机制是||使巨噬细胞等释放内源性致热原||直接刺激下丘脑体温调节中枢||使红细胞释放内源性致热原||提高机体基础代谢使之发热||以上都不是||A
G⁻菌产生的内毒素引起的毒性作用基本相似，原因是其脂质A||化学组成基本相似||抗原性基本相似||作用的受体基本相似||毒素进入细胞的方式||与补体的相互作用基本相似||A
细菌的黏附素是指||革兰阴性菌的菌毛||革兰阳性菌的膜磷壁酸||有黏附作用的细菌壁磷壁酸||具有黏附作用的细菌结构||其受体为D甘露醇||D
当细菌溶溃后才释放到胞外的外毒素是||痢疾志贺毒素||霍乱肠毒素||破伤风痉挛毒素||白喉毒素||TSS-1||A
